거래일자,거래시각,거래구분,상품명,수량,가격
2024-01-03,10:00:48,1,버터링,62,655
2024-01-03,10:03:29,2,브라우니,68,1000
2024-01-03,10:08:14,2,브라우니,95,1000
2024-01-03,10:13:37,2,심플(갑),61,2300
2024-01-05,10:25:49,2,연양갱,56,500
2024-01-06,10:27:18,2,(신)허쉬드링크,60,800
2024-01-06,10:29:38,2,(신)허쉬드링크,55,800
2024-01-07,10:32:30,1,인디고,95,1844
2024-01-08,10:37:12,1,(신)허쉬드링크,76,393
2024-01-09,10:40:24,1,순두유230ml,89,614
2024-01-10,10:42:51,1,아카시아후레쉬,74,737
2024-01-12,10:42:54,1,디스플러스(갑),71,1549
2024-01-12,10:43:02,1,화이트엔젤큐티,79,983
2024-01-13,10:45:33,1,입안가득초코칩,69,983
2024-01-15,10:48:40,1,미사랑,85,655
2024-01-15,10:54:31,1,에이스,53,1311
2024-01-15,10:55:14,1,빅썬사과,99,213
2024-01-16,10:59:01,1,에이스(소),60,459
2024-01-16,11:03:31,1,빅썬사과,93,213
2024-01-17,11:03:41,1,미니자유시간,80,1311
2024-01-17,11:03:57,1,브라우니,75,655
2024-01-17,11:04:30,1,레종후레시,97,1844
2024-01-17,11:05:25,1,자유시간,73,327
2024-01-17,11:07:37,1,자연애통밀,88,786
2024-01-18,11:14:41,1,후렌치파이딸기,87,1639
2024-01-18,11:15:31,1,컨디션,69,1229
2024-01-19,11:17:52,1,순두유230ml,56,614
2024-01-19,11:26:56,1,바밤바,86,274
2024-01-20,11:27:47,1,신라면큰사발,97,532
2024-01-21,11:29:03,1,디스플러스(갑),50,1549
2024-01-21,11:29:17,1,버터링,92,655
2024-01-22,11:34:36,1,에이스,86,1311
2024-01-23,11:35:27,1,초코픽,72,524
2024-01-23,11:38:47,1,빅썬사과,63,213
2024-01-24,11:39:37,1,오미오미누룽지,56,655
2024-01-24,11:45:12,1,심플(갑),95,1696
2024-01-24,11:52:33,1,오예스,69,2098
2024-01-24,11:56:37,2,입안가득초코칩,79,1500
2024-01-25,11:57:01,2,아카시아후레쉬,56,3000
2024-01-25,11:57:09,2,샤브레,88,1200
2024-01-26,11:57:54,2,자연애통밀,78,1200
2024-01-26,11:58:47,2,컨디션,53,2500
2024-01-26,12:01:52,2,연양갱,87,500
2024-01-26,12:05:33,2,순두유230ml,83,1300
2024-01-26,12:08:21,2,심플(갑),97,2300
2024-01-27,12:09:11,2,뉴롤리폴리,73,1000
2024-01-28,12:15:09,2,디스(갑),89,2000
2024-01-29,12:16:27,2,순두유230ml,95,1300
2024-02-03,12:26:23,2,심플(갑),92,2300
2024-02-04,12:30:05,2,쌍쌍바,79,700
2024-02-04,12:32:22,2,타임리스타임(갑),75,2300
2024-02-06,12:33:31,2,땅콩그래,63,1000
2024-02-06,12:34:26,2,미사랑,69,1000
2024-02-07,12:40:01,2,에쎄클래식,78,2500
2024-02-08,12:43:38,2,연양갱,73,500
2024-02-10,12:48:47,2,자유시간,93,500
2024-02-11,12:53:33,2,햇쌀,82,2000
2024-02-11,12:56:28,2,타임리스타임(갑),79,2300
2024-02-12,12:57:55,2,컨디션파워,93,4500
2024-02-12,12:58:20,2,로크럭스,80,2500
2024-02-13,13:00:29,2,헬로엔요190ml,69,1000
2024-02-13,13:03:01,1,에이스(소),95,459
2024-02-14,13:03:33,1,오미오미누룽지,82,655
2024-02-14,13:04:25,1,부라보(초코),74,549
