코드,저장소CD,식품명,구입수량,구입일,유통기간
P00001,5,꿩불고기,3,2024-01-23,2024-02-05
P00002,4,닭갈비,3,2024-01-22,2024-01-30
P00003,4,닭갈비,5,2024-01-25,2024-01-31
P00004,5,닭꼬치,7,2024-01-26,2024-02-06
P00005,5,더덕구이,3,2024-01-25,2024-02-01
P00006,1,도미구이,7,2024-01-23,2024-01-28
P00007,4,돼지갈비,5,2024-01-22,2024-02-01
P00008,5,병어구이,4,2024-01-26,2024-02-01
P00009,3,불고기,1,2024-01-26,2024-02-05
P00010,5,붕장어소금구이,4,2024-01-22,2024-02-06
P00011,2,소양념갈비구이,8,2024-01-28,2024-02-08
P00012,4,양념왕갈비,10,2024-01-21,2024-02-01
P00013,2,양념장어구이,6,2024-01-23,2024-02-07
P00014,4,임연수구이,3,2024-01-23,2024-01-30
P00015,3,짚불구이곰장어,3,2024-01-23,2024-02-07
P00016,4,햄버그스테이크,9,2024-01-21,2024-01-30
P00017,5,황태구이,5,2024-01-23,2024-02-02
P00018,5,훈제오리,8,2024-01-21,2024-01-28
P00019,5,게국지,4,2024-01-23,2024-02-06
P00020,5,곰치국,5,2024-01-26,2024-01-31
P00021,4,굴국밥,10,2024-01-22,2024-02-06
P00022,5,김치국,10,2024-01-21,2024-02-03
P00023,3,떡만둣국,1,2024-01-24,2024-01-29
P00024,5,만둣국,6,2024-01-22,2024-02-05
P00025,4,맑은감자국,10,2024-01-25,2024-02-01
P00026,3,매생이국,5,2024-01-25,2024-02-07
P00027,3,무된장국,10,2024-01-24,2024-02-04
P00028,5,미소된장국,2,2024-01-19,2024-02-03
P00029,5,바지락조개국,2,2024-01-22,2024-02-03
P00030,3,뼈다귀해장국,6,2024-01-21,2024-02-04
P00031,2,선지해장국,1,2024-01-19,2024-02-02
P00032,1,소고기무국,5,2024-01-22,2024-02-02
P00033,2,소고기미역국,4,2024-01-24,2024-02-01
P00034,3,순대국,7,2024-01-19,2024-01-28
P00035,3,시래기된장국,8,2024-01-22,2024-02-05
P00036,5,올갱이국,7,2024-01-28,2024-02-09
P00037,5,우거지해장국,3,2024-01-26,2024-02-05
P00038,3,우렁된장국,5,2024-01-28,2024-02-03
P00039,1,탕국,4,2024-01-21,2024-02-05
P00040,5,홍합미역국,2,2024-01-19,2024-01-25
P00041,1,황태해장국,1,2024-01-20,2024-01-31
P00042,5,고추잡채,7,2024-01-25,2024-02-06
P00043,1,난자완스,1,2024-01-28,2024-02-08
P00044,3,도토리묵말이,10,2024-01-27,2024-02-02
P00045,4,라조기,7,2024-01-28,2024-02-03
P00046,5,물회,8,2024-01-22,2024-02-05
P00047,3,생선물회,5,2024-01-27,2024-02-11
P00048,2,소고기샤브샤브,3,2024-01-22,2024-02-06
P00049,4,오징어순대,5,2024-01-21,2024-01-28
P00050,5,초당순두부,9,2024-01-20,2024-02-02
P00051,2,해파리냉채,10,2024-01-21,2024-01-29
P00052,4,고들빼기,9,2024-01-24,2024-01-31
P00053,3,열무얼갈이김치,8,2024-01-26,2024-01-31
P00054,3,미나리나물,7,2024-01-19,2024-01-31
P00055,1,취나물,9,2024-01-22,2024-02-06
P00056,2,콩나물,5,2024-01-23,2024-02-04
P00057,4,경단(깨),10,2024-01-22,2024-01-30
P00058,3,경단(콩),1,2024-01-19,2024-01-29
P00059,4,기피편,4,2024-01-26,2024-02-10
P00060,4,녹두시루떡,9,2024-01-19,2024-01-25
P00061,5,메밀전병,6,2024-01-19,2024-01-26
P00062,1,무지개떡,9,2024-01-22,2024-02-04
P00063,4,송편(깨),2,2024-01-24,2024-01-29
P00064,2,송편(콩),4,2024-01-19,2024-01-28
P00065,1,수수부꾸미,9,2024-01-20,2024-02-03
P00066,4,수수팥떡,9,2024-01-26,2024-02-05
P00067,2,시루떡,10,2024-01-21,2024-01-26
P00068,3,쑥떡,10,2024-01-23,2024-01-28
P00069,3,절편,10,2024-01-28,2024-02-08
P00070,3,찹쌀떡,9,2024-01-28,2024-02-04
P00071,1,간자장,3,2024-01-22,2024-01-28
P00072,1,굴짬뽕,1,2024-01-23,2024-02-01
P00073,1,기스면,5,2024-01-19,2024-02-01
P00074,5,김치라면,3,2024-01-21,2024-01-31
P00075,1,김치우동,10,2024-01-27,2024-02-10
P00076,2,냉김치말이국수,4,2024-01-28,2024-02-06
P00077,5,닭칼국수,3,2024-01-26,2024-02-01
P00078,5,둘깨칼국수,2,2024-01-22,2024-01-27
P00079,3,막국수,10,2024-01-27,2024-02-06
P00080,3,삼선우동,2,2024-01-22,2024-01-29
P00081,4,삼선자장면,6,2024-01-21,2024-01-29
P00082,3,삼선짬뽕,1,2024-01-22,2024-01-27
P00083,5,쌀국수,9,2024-01-19,2024-01-30
P00084,1,열무김치국수,5,2024-01-25,2024-01-31
P00085,5,열무냉면,10,2024-01-19,2024-01-27
P00086,1,오일소스스파게티,6,2024-01-26,2024-02-05
P00087,3,올갱이국수,10,2024-01-27,2024-02-06
P00088,2,우동(일식),6,2024-01-19,2024-01-25
P00089,4,우동(중식),3,2024-01-21,2024-01-29
P00090,2,울면,3,2024-01-23,2024-02-05
P00091,5,자장면,8,2024-01-27,2024-02-04
P00092,5,짬뽕라면,5,2024-01-23,2024-02-02
P00093,5,치즈라면,1,2024-01-25,2024-02-02
P00094,3,크림소스스파게티,3,2024-01-19,2024-01-26
P00095,5,토마토소스스파게티,4,2024-01-19,2024-01-30
P00096,1,해물칼국수,2,2024-01-22,2024-01-31
P00097,3,해물크림소스스파게티,10,2024-01-23,2024-02-04
P00098,3,해물토마토소스스파게티,1,2024-01-27,2024-02-09
P00099,1,골뱅이무침,3,2024-01-26,2024-02-10
P00100,2,노각무침,2,2024-01-25,2024-02-07
P00101,1,단무지무침,10,2024-01-28,2024-02-06
P00102,3,달래나물무침,1,2024-01-20,2024-01-31
P00103,4,더덕무침,3,2024-01-23,2024-01-29
P00104,5,도토리묵,3,2024-01-26,2024-02-09
P00105,2,밴댕이무침,1,2024-01-25,2024-02-02
P00106,5,서대회무침,10,2024-01-21,2024-01-29
P00107,1,쑥갓나물무침,8,2024-01-20,2024-01-26
P00108,4,우거지나물무침,6,2024-01-20,2024-01-31
P00109,5,쥐치채,9,2024-01-23,2024-01-28
P00110,1,청포묵무침,6,2024-01-22,2024-02-06
P00111,1,탕평채,2,2024-01-27,2024-02-10
P00112,4,홍어무침,2,2024-01-24,2024-02-04
P00113,2,고추장불고기 삼각김밥,1,2024-01-22,2024-02-06
P00114,5,곤드레나물밥,3,2024-01-19,2024-01-24
P00115,5,국밥,2,2024-01-19,2024-01-31
P00116,4,농어초밥,7,2024-01-28,2024-02-09
P00117,5,돼지국밥,4,2024-01-22,2024-01-28
P00118,4,류산슬덮밥,4,2024-01-19,2024-01-29
P00119,5,멍게비빔밥,3,2024-01-27,2024-02-08
P00120,5,멸치주먹밥,10,2024-01-27,2024-02-04
P00121,2,묵밥,4,2024-01-19,2024-02-01
P00122,5,문어초밥,10,2024-01-27,2024-02-07
P00123,4,비빔밥,8,2024-01-25,2024-02-02
P00124,5,삼선볶음밥,5,2024-01-21,2024-02-02
P00125,3,새우초밥,8,2024-01-28,2024-02-09
P00126,2,새우튀김롤,9,2024-01-19,2024-01-26
P00127,5,샐러드김밥,4,2024-01-21,2024-01-27
P00128,2,생선초밥(광어),8,2024-01-21,2024-01-28
