SEQ,학번,과목명,점수
1,S0001,데이터베이스,71
2,S0001,수학,63
3,S0001,미술,50
4,S0001,소프트웨어공학,56
5,S0001,국어,63
6,S0001,음악,78
7,S0001,영어,92
8,S0002,데이터베이스,84
9,S0002,음악,75
10,S0002,국어,52
11,S0002,미술,65
12,S0002,수학,85
13,S0002,소프트웨어공학,83
14,S0002,영어,63
15,S0003,수학,89
16,S0003,영어,63
17,S0003,국어,70
18,S0003,데이터베이스,92
19,S0003,음악,68
20,S0003,미술,62
21,S0003,소프트웨어공학,100
22,S0004,영어,92
23,S0004,음악,84
24,S0004,데이터베이스,54
25,S0004,국어,58
26,S0004,미술,82
27,S0004,수학,62
28,S0004,소프트웨어공학,55
29,S0005,수학,97
30,S0005,영어,71
31,S0005,국어,76
32,S0005,음악,89
33,S0005,데이터베이스,79
34,S0005,소프트웨어공학,71
35,S0005,미술,61
36,S0006,영어,58
37,S0006,음악,73
38,S0006,국어,91
39,S0006,소프트웨어공학,88
40,S0006,미술,65
41,S0006,데이터베이스,63
42,S0006,수학,52
43,S0007,수학,82
44,S0007,데이터베이스,88
45,S0007,국어,73
46,S0007,음악,79
47,S0007,미술,70
48,S0007,영어,89
49,S0007,소프트웨어공학,51
50,S0008,음악,95
51,S0008,영어,73
52,S0008,미술,83
53,S0008,수학,92
54,S0008,데이터베이스,53
55,S0008,국어,74
56,S0008,소프트웨어공학,67
57,S0009,수학,54
58,S0009,영어,61
59,S0009,음악,57
60,S0009,국어,95
61,S0009,소프트웨어공학,58
62,S0009,미술,75
63,S0009,데이터베이스,63
64,S0010,수학,81
65,S0010,데이터베이스,58
66,S0010,소프트웨어공학,72
67,S0010,미술,81
68,S0010,영어,91
69,S0010,국어,71
70,S0010,음악,59
71,S0011,영어,66
72,S0011,국어,53
73,S0011,데이터베이스,69
74,S0011,소프트웨어공학,87
75,S0011,미술,54
76,S0011,음악,83
77,S0011,수학,58
78,S0012,음악,88
79,S0012,국어,75
80,S0012,소프트웨어공학,57
81,S0012,수학,52
82,S0012,영어,95
83,S0012,데이터베이스,56
84,S0012,미술,98
85,S0013,수학,100
86,S0013,영어,81
87,S0013,미술,61
88,S0013,소프트웨어공학,68
89,S0013,데이터베이스,100
90,S0013,국어,95
91,S0013,음악,76
92,S0014,데이터베이스,83
93,S0014,국어,92
94,S0014,영어,70
95,S0014,수학,67
96,S0014,음악,54
97,S0014,미술,97
98,S0014,소프트웨어공학,65
99,S0015,데이터베이스,78
100,S0015,국어,92
101,S0015,영어,61
102,S0015,미술,60
103,S0015,소프트웨어공학,80
104,S0015,수학,55
105,S0015,음악,54
106,S0016,영어,93
107,S0016,미술,93
108,S0016,데이터베이스,73
109,S0016,음악,90
110,S0016,소프트웨어공학,54
111,S0016,수학,75
112,S0016,국어,70
113,S0017,영어,78
114,S0017,국어,73
115,S0017,데이터베이스,71
116,S0017,수학,59
117,S0017,소프트웨어공학,76
118,S0017,미술,71
119,S0017,음악,70
120,S0018,영어,51
